Date	Team A	Team B	Off A	Def A	Corr A	xG A	Off B	Def B	Corr B	xG B	P(A)	P(Tie)	P(B)	A	Tie	B	Residual
16 Jun 2026	IR_Iran	New_Zealand	0.7073	0.3696	-0.1509	2.6881	-0.1324	-0.2058	0.1876	0.7184	0.7894	0.1356	0.0750	0.0000	1.0000	0.0000	1.9980
16 Jun 2026	France	Senegal	0.8094	0.1947	0.0189	1.6199	0.4208	0.3312	-0.2890	1.0919	0.4964	0.2473	0.2563	1.0000	0.0000	0.0000	0.7003
16 Jun 2026	Iraq	Norway	-0.0576	0.2238	-0.0794	0.6013	0.7602	0.4085	-0.2463	1.9180	0.1078	0.2038	0.6884	0.0000	0.0000	1.0000	0.3734
17 Jun 2026	Argentina	Algeria	0.7103	0.4411	-0.3737	0.9067	0.5664	0.7614	-0.4333	1.1588	0.2854	0.2993	0.4153	1.0000	0.0000	0.0000	1.2539
17 Jun 2026	Austria	Jordan	0.5970	0.4485	-0.2457	2.2019	0.3876	-0.1773	-0.0980	0.8721	0.6765	0.1879	0.1355	1.0000	0.0000	0.0000	0.3908
17 Jun 2026	Portugal	Congo_DR	0.7526	0.3018	-0.2470	1.3455	0.1448	0.4946	-0.1315	0.8262	0.4895	0.2806	0.2299	0.0000	1.0000	0.0000	1.2709
17 Jun 2026	England	Croatia	0.4505	0.5463	-0.0365	1.4578	0.4004	0.0789	-0.3469	0.7597	0.5376	0.2673	0.1952	1.0000	0.0000	0.0000	0.6207
17 Jun 2026	Ghana	Panama	0.0233	-0.0913	-0.1880	1.2113	0.3978	-0.2603	0.1422	1.6979	0.2729	0.2393	0.4878	1.0000	0.0000	0.0000	1.2988
18 Jun 2026	Uzbekistan	Colombia	0.1598	0.2093	0.0955	1.0311	0.6749	0.1736	-0.2132	1.5977	0.2447	0.2500	0.5053	0.0000	0.0000	1.0000	0.6825
18 Jun 2026	Czechia	SouthAfrica	0.4239	0.0080	-0.1948	1.6219	0.1036	-0.0783	-0.2371	0.9768	0.5245	0.2479	0.2275	0.0000	1.0000	0.0000	1.3946
18 Jun 2026	Switzerland	Bos_and_Her	0.5470	0.2626	0.0680	1.4145	0.2358	0.1984	-0.0745	0.9486	0.4778	0.2697	0.2525	1.0000	0.0000	0.0000	0.7385
18 Jun 2026	Canada	Qatar	0.0593	0.4816	-0.1862	1.1132	-0.1864	0.0764	-0.0960	0.5136	0.5042	0.3261	0.1697	1.0000	0.0000	0.0000	0.6848
19 Jun 2026	Mexico	Kor_Rep	0.4088	0.5928	-0.5276	1.4954	0.3150	0.1530	-0.1735	0.7245	0.5569	0.2623	0.1808	1.0000	0.0000	0.0000	0.5854
19 Jun 2026	USA	Australia	0.7847	-0.0618	0.0502	1.6479	0.3162	0.3042	0.0936	1.5266	0.4086	0.2349	0.3566	1.0000	0.0000	0.0000	0.8951
19 Jun 2026	Scotland	Morocco	0.5338	0.2825	0.0100	0.6697	0.7093	0.9391	0.0103	1.5260	0.1627	0.2576	0.5797	0.0000	0.0000	1.0000	0.5453
20 Jun 2026	Brazil	Haiti	1.0127	0.2043	0.1578	2.3409	0.1115	0.1476	-0.2270	0.7489	0.7302	0.1679	0.1020	1.0000	0.0000	0.0000	0.3145
20 Jun 2026	Türkiye	Paraguay	0.4094	0.0142	0.1094	1.7992	0.2207	-0.1553	-0.1178	1.1502	0.5257	0.2315	0.2428	0.0000	0.0000	1.0000	1.4156
20 Jun 2026	Netherlands	Sweden	0.7432	0.2131	-0.0178	2.9126	0.5524	-0.3319	0.6662	2.8735	0.4214	0.1699	0.4087	1.0000	0.0000	0.0000	0.8641
20 Jun 2026	Germany	CôtedIvoire	1.2355	0.3022	0.0846	2.1170	0.7130	0.5203	-0.1482	1.3564	0.5491	0.2085	0.2424	1.0000	0.0000	0.0000	0.5994
21 Jun 2026	Ecuador	Curaçao	0.1407	0.4840	-0.0819	2.1148	0.4482	-0.6053	0.1261	1.0600	0.6154	0.2031	0.1815	0.0000	1.0000	0.0000	1.5940
21 Jun 2026	Tunisia	Japan	0.1536	-0.2789	-0.3882	0.6504	0.3011	0.3585	0.2381	1.7011	0.1385	0.2336	0.6279	0.0000	0.0000	1.0000	0.4654
21 Jun 2026	Spain	SaudiArabia	0.5010	0.5048	-0.0457	1.5285	0.2189	0.0898	-0.0281	0.7427	0.5607	0.2581	0.1813	1.0000	0.0000	0.0000	0.5786
21 Jun 2026	Belgium	IR_Iran	1.1674	0.2878	-0.2035	2.3172	0.6453	0.2543	-0.0957	1.3102	0.5994	0.1937	0.2069	0.0000	1.0000	0.0000	1.6416
21 Jun 2026	Uruguay	Cabo_Verde	-0.0131	0.3824	0.0914	0.7396	0.2155	0.2734	-0.1724	0.8892	0.2835	0.3480	0.3685	0.0000	1.0000	0.0000	1.0555
22 Jun 2026	New_Zealand	Egypt	-0.0170	-0.1439	0.3748	0.5864	0.3163	0.6893	-0.3443	2.0207	0.0968	0.1907	0.7125	0.0000	0.0000	1.0000	0.3389
22 Jun 2026	Argentina	Austria	0.8987	0.5454	-0.3317	1.5231	0.6688	0.4370	-0.2535	1.0064	0.4924	0.2575	0.2502	1.0000	0.0000	0.0000	0.7085
22 Jun 2026	France	Iraq	0.9336	0.2030	0.0688	2.4151	-0.0217	0.0364	-0.0451	0.7671	0.7382	0.1622	0.0995	1.0000	0.0000	0.0000	0.3035
23 Jun 2026	Norway	Senegal	0.9476	0.3726	-0.4015	2.0638	0.4125	0.2070	-0.2961	0.8358	0.6585	0.1997	0.1418	1.0000	0.0000	0.0000	0.4178
23 Jun 2026	Jordan	Algeria	0.3991	-0.2492	-0.0822	0.7926	0.4621	0.5730	-0.4238	2.1923	0.1216	0.1847	0.6937	0.0000	0.0000	1.0000	0.3658
23 Jun 2026	Portugal	Uzbekistan	0.7215	0.2861	-0.2384	1.9528	0.1570	0.0831	0.0932	0.9327	0.6119	0.2143	0.1738	1.0000	0.0000	0.0000	0.4913
23 Jun 2026	England	Ghana	0.6793	0.4346	-0.0958	1.9329	0.0043	0.0615	-0.2045	0.5731	0.6988	0.2003	0.1009	0.0000	1.0000	0.0000	1.6079
23 Jun 2026	Panama	Croatia	0.2450	-0.2413	0.0651	1.5588	0.5120	-0.1499	-0.2732	1.9068	0.3182	0.2208	0.4610	0.0000	0.0000	1.0000	0.7743
24 Jun 2026	Colombia	Congo_DR	0.8011	0.1764	-0.2163	1.3215	0.1604	0.5257	-0.1243	0.9510	0.4517	0.2794	0.2689	1.0000	0.0000	0.0000	0.7947
24 Jun 2026	Bos_and_Her	Qatar	0.2405	-0.0343	-0.0716	1.8555	-0.2327	-0.3635	-0.0946	0.7745	0.6302	0.2194	0.1504	1.0000	0.0000	0.0000	0.4617
24 Jun 2026	Switzerland	Canada	0.7797	0.2580	0.0569	1.3043	0.4991	0.5278	-0.7085	1.0646	0.4202	0.2762	0.3036	1.0000	0.0000	0.0000	0.8670
24 Jun 2026	Morocco	Haiti	0.6620	0.9994	0.0445	1.7011	0.0441	0.0882	-0.3307	0.3182	0.7214	0.2149	0.0637	1.0000	0.0000	0.0000	0.3265
24 Jun 2026	Scotland	Brazil	0.4736	0.3298	-0.0357	1.1917	1.0721	0.2717	0.1480	2.1643	0.2023	0.2024	0.5953	0.0000	0.0000	1.0000	0.5186
25 Jun 2026	Czechia	Mexico	0.3680	0.0059	-0.2043	0.6954	0.3642	0.6580	-0.5055	1.6569	0.1540	0.2407	0.6053	0.0000	0.0000	1.0000	0.5020
25 Jun 2026	SouthAfrica	Kor_Rep	0.1057	-0.0223	-0.2352	0.8557	0.2497	0.1976	-0.2032	1.3375	0.2395	0.2808	0.4797	1.0000	0.0000	0.0000	1.4292
25 Jun 2026	Ecuador	Germany	-0.0496	0.5794	-0.0698	0.6512	1.2250	0.3343	0.0770	1.8516	0.1240	0.2146	0.6614	1.0000	0.0000	0.0000	2.0875
25 Jun 2026	Curaçao	CôtedIvoire	0.3528	-0.4150	-0.0004	0.8365	0.6810	0.5308	-0.1890	3.0943	0.0685	0.1145	0.8171	0.0000	0.0000	1.0000	0.2020
25 Jun 2026	Japan	Sweden	0.5080	0.4171	0.1627	2.7798	0.3838	-0.5198	0.3439	1.3774	0.6680	0.1642	0.1678	0.0000	1.0000	0.0000	1.8068
25 Jun 2026	Tunisia	Netherlands	0.0950	-0.4858	-0.4485	0.3976	0.9311	0.3817	0.0955	4.0130	0.0116	0.0408	0.9476	0.0000	0.0000	1.0000	0.0539
26 Jun 2026	Türkiye	USA	0.2475	0.0277	0.0499	1.2353	0.8164	0.0756	0.0715	2.2277	0.2032	0.1985	0.5983	1.0000	0.0000	0.0000	1.5937
26 Jun 2026	Paraguay	Australia	0.2072	0.0066	-0.1314	0.9158	0.1788	0.2725	-0.0238	1.1898	0.2824	0.2953	0.4223	0.0000	1.0000	0.0000	1.2198
26 Jun 2026	Senegal	Iraq	0.5173	0.1228	-0.1581	1.7636	-0.0907	-0.0163	-0.1553	0.7435	0.6176	0.2290	0.1534	1.0000	0.0000	0.0000	0.4818
26 Jun 2026	Norway	France	1.0319	0.2678	-0.3956	1.6091	0.9862	0.2720	0.0478	2.1269	0.2937	0.2084	0.4979	0.0000	0.0000	1.0000	0.6973
27 Jun 2026	Uruguay	Spain	0.1004	0.2824	0.0578	0.6403	0.7234	0.5716	-0.1587	1.6750	0.1389	0.2366	0.6245	0.0000	0.0000	1.0000	0.4708
27 Jun 2026	Cabo_Verde	SaudiArabia	0.3155	0.1599	-0.2233	1.5682	0.1520	-0.1327	-0.0770	0.9585	0.5156	0.2535	0.2309	0.0000	1.0000	0.0000	1.3724
27 Jun 2026	New_Zealand	Belgium	0.0202	-0.2320	0.4053	1.1020	0.9588	0.4057	-0.3361	3.7450	0.0656	0.0937	0.8407	0.0000	0.0000	1.0000	0.1736
27 Jun 2026	Egypt	IR_Iran	0.4045	0.6521	-0.4550	0.9984	0.5274	0.4628	-0.2871	0.8977	0.3679	0.3181	0.3140	0.0000	1.0000	0.0000	1.1455
27 Jun 2026	Croatia	Ghana	0.4304	-0.0096	-0.3305	1.2304	-0.0473	0.2355	-0.2612	0.9152	0.4344	0.2908	0.2748	1.0000	0.0000	0.0000	0.8338
27 Jun 2026	Panama	England	0.1047	-0.1597	-0.1228	0.6293	0.5053	0.4862	0.0373	1.9171	0.1136	0.2055	0.6809	0.0000	0.0000	1.0000	0.3843
27 Jun 2026	Colombia	Portugal	0.7721	0.2620	-0.2155	1.2763	0.9958	0.3701	-0.3013	1.8453	0.2648	0.2276	0.5076	0.0000	1.0000	0.0000	1.4800
27 Jun 2026	Congo_DR	Uzbekistan	0.0748	0.5547	-0.1662	1.4135	0.0730	-0.1912	-0.0021	0.6174	0.5643	0.2733	0.1625	1.0000	0.0000	0.0000	0.5722
28 Jun 2026	Jordan	Argentina	0.4177	-0.2319	-0.0586	0.7505	0.9416	0.6360	-0.3223	3.4687	0.0446	0.0864	0.8689	0.0000	0.0000	1.0000	0.1405
28 Jun 2026	Algeria	Austria	0.4447	0.5544	-0.4185	1.0415	0.5783	0.3941	-0.3279	1.0073	0.3569	0.3040	0.3391	0.0000	1.0000	0.0000	1.1908
28 Jun 2026	SouthAfrica	Canada	0.1187	0.0980	-0.2289	0.6460	0.4933	0.4652	-0.7111	1.8995	0.1185	0.2086	0.6729	0.0000	0.0000	1.0000	0.3962
29 Jun 2026	Brazil	Japan	1.1473	0.3789	0.1750	1.9953	0.3479	0.4510	0.1721	1.0928	0.5828	0.2143	0.2029	1.0000	0.0000	0.0000	0.5399
29 Jun 2026	Germany	Paraguay	1.1483	0.2129	0.1293	2.7821	0.1248	0.1137	-0.1566	0.7787	0.7897	0.1325	0.0778	0.0000	1.0000	0.0000	2.0210
30 Jun 2026	Netherlands	Morocco	0.8399	0.3275	0.1419	1.0712	0.8689	0.8480	-0.3069	1.7227	0.2355	0.2382	0.5263	0.0000	1.0000	0.0000	1.4347
30 Jun 2026	CôtedIvoire	Norway	0.5825	0.6061	-0.1578	1.5291	0.9770	0.0993	-0.4656	1.1572	0.4585	0.2538	0.2877	0.0000	0.0000	1.0000	1.2457
30 Jun 2026	France	Sweden	1.1548	0.3268	0.2755	4.5754	0.3498	-0.3596	0.2818	1.5680	0.8494	0.0806	0.0700	1.0000	0.0000	0.0000	0.1632
01 Jul 2026	Mexico	Ecuador	0.4851	0.7206	-0.5679	1.2184	0.0718	0.6560	0.0695	0.5165	0.5366	0.3062	0.1572	1.0000	0.0000	0.0000	0.6225
01 Jul 2026	England	Congo_DR	0.5128	0.5429	0.0322	0.9823	0.2176	0.5202	-0.2885	0.7239	0.4041	0.3355	0.2604	1.0000	0.0000	0.0000	0.9061
01 Jul 2026	Belgium	Senegal	1.0718	0.4149	-0.4135	2.0530	0.8086	0.1897	-0.2687	1.1696	0.5773	0.2108	0.2118	1.0000	0.0000	0.0000	0.5493
