P(A)	P(B)	A	B
0.81	0.2	0.0	1.0
0.32	0.7	1.0	0.0
0.2	0.82	0.0	1.0
0.55	0.47	0.0	1.0
0.6	0.41	1.0	0.0
0.92	0.09	1.0	0.0
0.42	0.59	0.0	1.0
0.45	0.56	0.0	1.0
0.14	0.86	0.0	1.0
0.7	0.32	0.0	1.0
0.54	0.48	0.0	1.0
0.65	0.36	1.0	0.0
0.52	0.49	0.0	1.0
0.49	0.52	0.0	1.0
0.79	0.22	1.0	0.0
0.61	0.44	0.0	1.0
0.94	0.1	1.0	0.0
0.72	0.29	1.0	0.0
0.63	0.38	0.0	1.0
0.21	0.81	0.0	1.0
0.74	0.27	1.0	0.0
0.28	0.73	1.0	0.0
0.44	0.57	1.0	0.0
0.44	0.58	0.0	1.0
0.35	0.67	0.0	1.0
0.52	0.49	0.0	1.0
0.42	0.59	0.0	1.0
0.08	0.92	0.0	1.0
0.43	0.58	1.0	0.0
0.61	0.42	0.0	1.0
0.5	0.51	1.0	0.0
0.6	0.42	1.0	0.0
0.44	0.58	0.0	1.0
0.31	0.71	0.0	1.0
0.13	0.89	0.0	1.0
0.95	0.29	0.0	1.0
0.35	0.66	0.0	1.0
0.8	0.21	1.0	0.0
0.23	0.79	0.0	1.0
0.67	0.34	0.0	1.0
0.41	0.6	1.0	0.0
0.41	0.61	1.0	0.0
0.56	0.44	1.0	0.0
0.57	0.45	1.0	0.0
0.75	0.26	1.0	0.0
0.27	0.75	0.0	1.0
0.43	0.58	0.0	1.0
0.52	0.49	1.0	0.0
0.21	0.8	1.0	0.0
0.39	0.62	0.0	1.0
0.26	0.76	0.0	1.0
0.29	0.72	0.0	1.0
0.56	0.45	0.0	1.0
0.6	0.41	1.0	0.0
0.45	0.56	1.0	0.0
0.6	0.4	1.0	0.0
0.5	0.51	0.0	1.0
0.24	0.77	1.0	0.0
0.41	0.61	0.0	1.0
0.72	0.29	1.0	0.0
0.7	0.32	0.0	1.0
0.3	0.71	1.0	0.0
0.12	0.89	0.0	1.0
0.81	0.2	0.0	1.0
0.53	0.47	0.0	1.0
0.12	0.89	0.0	1.0
0.82	0.19	1.0	0.0
0.66	0.34	1.0	0.0
0.43	0.6	1.0	0.0
0.24	0.77	0.0	1.0
0.23	0.79	0.0	1.0
0.29	0.73	0.0	1.0
0.68	0.34	0.0	1.0
0.42	0.59	0.0	1.0
0.69	0.33	0.0	1.0
0.6	0.42	0.0	1.0
0.3	0.71	0.0	1.0
0.36	0.65	0.0	1.0
0.62	0.39	1.0	0.0
0.55	0.47	1.0	0.0
0.43	0.58	1.0	0.0
0.16	0.85	0.0	1.0
0.76	0.25	1.0	0.0
0.77	0.23	1.0	0.0
0.56	0.46	0.0	1.0
0.6	0.41	1.0	0.0
0.78	0.23	1.0	0.0
0.31	0.69	0.0	1.0
0.77	0.23	0.0	1.0
0.55	0.46	1.0	0.0
0.55	0.46	1.0	0.0
